Pfr_ID,HOF,Age,All_Pro,Pro_Bowl,First_Team,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_TDs,Tackles,Def_Int,Sacks
AjayJa00,No,22,0,0,0,18,,,,,,193,989,7,22,166,0,,,
HeueJe00,No,22,0,0,0,7,,,,,,,,,2,48,0,,,
PoutJe00,No,21,0,0,0,11,,,,,,,,,,,,,,
LangJe00,No,23,0,0,0,22,,,,,,187,677,9,35,357,1,,,
JameJe00,No,21,0,0,1,19,,,,,,,,,37,292,4,,,
NelsJJ00,No,23,0,0,0,20,,,,,,4,27,0,29,542,4,,,
CardJo00,No,23,0,0,0,26,,,,,,,,,,,,,,
IoseJo00,No,24,0,0,0,2,,,,,,15,51,0,,,,,,
MillJo04,No,22,0,0,2,22,,,,,,,,,,,,,,
FeliJo00,No,23,0,0,0,16,,,,,,,,,,,,,,
HickJo00,No,23,0,0,1,18,,,,,,,,,,,,77,4,2
PhilJo01,No,23,0,0,1,25,,,,,,,,,,,,21,1,2.5
RichJo00,No,22,0,0,0,23,,,,,,,,,,,,16,,
FurmJo00,No,,0,0,0,,,,,,,,,,,,,,,
RobiJo02,No,23,0,0,0,5,,,,,,17,39,0,6,33,0,,,
ShawJo00,No,23,0,0,0,25,,,,,,,,,,,,35,1,
HardJu00,No,23,0,0,0,19,,,,,,,,,31,277,2,,,
ClayKa00,No,23,0,0,0,7,,,,,,,,,,,,,,
WillKa01,No,22,0,0,0,11,,,,,,93,517,7,11,96,2,,,
MumpKe00,No,23,0,0,0,21,,,,,,,,,16,141,0,,,
BackKe00,No,22,0,0,0,7,,,,,,,,,,,,,,
BellKe02,No,23,0,0,0,,,,,,,,,,,,,,,
HillKe01,No,23,0,0,0,,,,,,,,,,,,,,,
JohnKe04,No,23,0,0,0,22,,,,,,,,,,,,65,1,
WhitKe00,No,23,0,0,0,4,,,,,,1,9,0,19,187,0,,,
SokoKr00,No,24,0,0,0,1,,,,,,,,,,,,,,
AlexKw00,No,21,0,0,2,22,,,,,,,,,,,,130,3,5
EmanKy00,No,24,0,0,1,25,,,,,,,,,,,,27,1,1
JarrKy00,No,22,0,0,0,16,,,,,,,,,,,,38,,
TomlLa01,No,23,0,0,1,27,,,,,,,,,,,,,,
CollLa00,No,21,0,0,2,26,,,,,,,,,,,,146,6,3
GibsLa00,No,24,0,0,0,,,,,,,,,,,,,,,
WillLe02,No,21,0,0,2,26,,,,,,,,,,,,56,,9
WaltLe00,No,23,0,0,0,10,,,,,,,,,,,,,,
DossLo00,No,21,0,0,0,10,,,,,,,,,,,,3,,
MaulLo00,No,22,0,0,0,25,,,,,,,,,,,,13,1,6.5
JohnMa06,No,23,0,0,0,19,,,,,,1,2,0,9,59,0,,,
BrowMa01,No,21,0,0,1,26,,,,,,,,,,,,47,,5
HardMa00,No,23,0,0,0,,,,,,,,,,,,,,,
MariMa01,No,21,0,0,2,23,458,725,5590,42,18,79,516,4,1,41,1,,,
MurpMa03,No,23,0,0,0,16,,,,,,1,0,0,1,3,0,,,
PeteMa00,No,22,0,1,1,25,,,,,,,,,,,,79,13,
AlfoMa00,No,23,0,0,0,1,,,,,,,,,1,15,0,,,
EdwaMa01,No,21,0,0,1,14,,,,,,,,,,,,33,,2
GlowMa00,No,23,0,0,1,19,,,,,,,,,,,,,,
NzeoMa00,No,25,0,0,0,4,,,,,,,,,,,,,,
GoldMa00,No,24,0,0,0,25,,,,,,,,,,,,45,,10
IfedMa00,No,24,0,0,0,,,,,,,,,,,,,,,
SpaiMa00,No,22,0,0,0,10,,,,,,,,,,,,,1,
JoneMa04,No,22,0,0,0,20,,,,,,243,950,6,27,377,1,,,
WellMa00,No,24,0,0,0,,,,,,,,,,,,,,,
GarcMa00,No,23,0,0,1,25,,,,,,,,,,,,,,
VallMa00,No,21,0,0,0,,,,,,,,,,,,,,,
WillMa04,No,21,0,0,0,18,,,,,,,,,32,268,1,,,
GordMe00,No,22,0,0,1,24,,,,,,401,1479,9,66,538,2,,,
BennMi01,No,22,0,0,0,13,,,,,,,,,,,,7,,0.5
BurtMi00,No,23,0,0,0,27,,,,,,4,2,0,6,39,1,,,
DaviMi01,No,22,0,0,0,14,,,,,,54,108,1,10,63,0,,,
MorsMi00,No,23,0,0,2,25,,,,,,,,,,,,,,
PruiMy00,No,23,0,0,0,18,,,,,,,,,11,96,0,,,
ThomMy00,No,22,0,0,0,1,,,,,,,,,,,,,,
OrchNa00,No,22,0,0,1,18,,,,,,,,,,,,26,1,3
SterNe00,No,23,0,0,0,15,,,,,,,,,1,10,0,,,
BallNe00,No,23,0,0,0,6,,,,,,,,,,,,4,,1
AghoNe00,No,22,0,0,1,23,,,,,,1,5,0,50,547,2,,,
BoylNi00,No,22,0,0,0,11,,,,,,,,,18,153,0,,,
OLeaNi00,No,23,0,0,0,14,,,,,,,,,8,131,0,,,
GwacOb00,No,24,0,0,0,10,,,,,,,,,,,,3,,2.5
OdigOw00,No,23,0,0,0,14,,,,,,,,,,,,3,,
WillP.00,No,22,0,0,0,2,,,,,,,,,,,,5,,
DawsPa00,No,22,0,0,0,11,,,,,,,,,,,,3,,
DorsPh00,No,22,0,0,0,21,,,,,,4,20,0,42,620,2,,,
SmitPr00,No,22,0,0,1,27,,,,,,,,,,,,37,1,11.5
DiggQu00,No,23,0,0,0,27,,,,,,,,,,,,65,,
RollQu00,No,23,0,0,0,21,,,,,,,,,,,,39,2,1
NuneRa00,No,22,0,0,0,12,,,,,,,,,,,,9,,
WilsRa00,No,23,0,0,0,16,,,,,,,,,,,,35,1,
EvanRa00,No,23,0,0,0,1,,,,,,,,,,,,,,
TelfRa00,No,23,0,0,0,9,,,,,,,,,1,-3,0,,,
GregRa00,No,22,0,0,0,12,,,,,,,,,,,,7,,
GreeRa00,No,23,0,0,0,16,,,,,,,,,24,125,2,,,
ClieRe00,No,23,0,0,0,,,,,,,,,,,,,,,
HaveRo00,No,23,0,0,2,23,,,,,,,,,,,,,,
MyerRo01,No,23,0,0,0,,,,,,,,,,,,,,,
GuntRo00,No,23,0,0,1,26,,,,,,,,,,,,19,,1
DarbRo00,No,21,0,0,1,24,,,,,,,,,,,,98,2,
AndeRo02,No,22,0,0,0,,,,,,,,,,,,,,,
MurpRy00,No,22,0,0,0,,,,,,,,,,,,,,,
